Interval_ID,RR_Interval
1,877.92969
1,949.75725
1,999.66462
1,1031.3005
1,1048.3137
1,1054.3528
1,1053.0667
1,1048.1039
1,1043.1133
1,1041.5166
1,1043.7221
1,1047.9999
1,1052.5745
1,1055.704
1,1056.865
1,1057.0666
1,1057.4158
1,1059.0162
1,1061.9998
1,1064.1909
1,1063.0786
1,1056.1519
1,1041.9098
1,1023.4756
1,1005.2943999999999
1,991.81169
1,986.64493
1,989.9804
1,1001.1159999999999
1,1019.3496
1,1043.2811
1,1067.7614
1,1086.3883
1,1092.759
1,1080.8459
1,1051.7365
1,1012.8786000000001
1,971.94388
1,936.12785
1,907.73073
1,886.17384
1,870.84236
1,861.2542
1,857.2177
1,858.57963
1,865.02355
1,875.52018
1,888.84572
1,903.88804
1,920.24957
1,937.81408
1,956.46604
1,976.01693
1,996.0045
1,1015.9023999999998
1,1035.1841
1,1053.3817
1,1070.372
1,1086.1578
1,1100.7424
1,1114.129
1,1126.2197
1,1136.6234
1,1144.8962
1,1150.594
1,1153.2952
1,1153.0998
1,1150.6321
1,1146.5393
1,1141.4688
1,1135.9654
1,1130.073
1,1123.6833
1,1116.6876
1,1108.9811
1,1100.5523
1,1091.4875
1,1081.8774
1,1071.8127
1,1061.3284
1,1050.3309
1,1038.7083
1,1026.3491
1,1013.0984000000001
1,998.66547
1,982.73255
1,964.98436
1,945.61091
1,925.91975
1,907.36811
1,891.39771
1,879.32781
1,872.4195
1,871.91758
1,878.50862
1,892.18742
1,912.90579
1,940.28513
1,970.97555
1,1000.0558
1,1022.5902
1,1034.0295
1,1035.0291
1,1029.976
1,1023.3386
1,1019.4308000000001
1,1019.6387999999998
1,1022.7321000000001
1,1027.3877
1,1032.2535
1,1034.9664
1,1031.9236
1,1019.4464999999999
1,994.0046
1,957.87671
1,920.91945
1,893.49897
1,884.53957
1,893.45809
1,915.82151
1,947.18592
1,983.15348
1,1019.4826999999999
1,1051.9655
1,1076.3934
1,1088.9283
1,1089.1714
1,1078.5921
1,1058.6784
1,1030.9865
1,998.36641
1,964.82451
1,934.40788
1,910.9958
1,897.31929
1,895.62867
1,908.15803
1,934.30768
1,967.2786
1,999.4517
1,1023.2118000000002
1,1033.851
1,1034.7401
1,1030.6411
1,1026.3164
1,1025.6417
1,1029.1295
1,1036.4945
1,1047.4513
1,1061.3682
1,1075.1983
1,1084.8671
1,1086.2961
1,1075.6247
1,1054.2902
1,1029.1929
1,1007.4832
1,996.06235
1,995.75785
1,1001.1353999999999
1,1006.4732
1,1006.2055999999999
1,999.15874
1,989.04634
1,979.83808
1,975.26631
1,974.71591
1,973.76412
1,967.85942
1,953.00395
1,931.05047
1,907.36561
1,887.36305
1,875.95217
1,876.68797
1,892.90039
1,927.51985
1,974.45428
1,1018.6805
1,1044.7943
1,1037.5981
1,994.97312
1,935.46442
1,879.44112
1,844.24637
1,827.3923
1,818.40543
1,807.28914
1,792.13213
1,777.5816
1,768.33712
1,765.8324
1,768.16805
1,773.35568
1,781.6775
1,796.30239
1,820.58019
1,854.92922
1,892.06927
1,923.47155
1,940.77704
1,942.2878
1,934.99449
1,926.47205
1,923.71388
1,927.69317
1,935.82402
1,945.47425
1,954.12147
1,959.81228
1,960.77702
1,955.24691
1,942.8444
1,927.45081
1,913.75956
1,906.33723
1,906.11005
1,909.91108
1,914.35552
1,916.42968
1,915.90755
1,913.83051
1,911.24508
1,908.62764
1,904.98246
1,899.07931
1,889.80489
1,878.0507
1,866.3938
1,857.46198
1,852.83934
1,851.29083
1,851.11017
1,850.78209
1,850.57889
2,851.74898
2,855.53025
2,861.73074
2,867.81508
2,871.03067
2,869.03162
2,862.22073
2,852.13879
2,840.38901
2,830.34911
2,827.44363
2,837.20767
2,861.49837
2,891.35606
2,915.84257
2,924.27313
2,915.24793
2,899.11086
2,886.95947
2,887.8224
2,898.27659
2,910.26303
2,915.73381
2,910.50874
2,898.96162
2,886.61213
2,878.60348
2,875.7538
2,876.11501
2,877.6941
2,878.54391
2,876.83166
2,870.74211
2,858.77461
2,842.79841
2,826.72818
2,814.4344
2,807.17633
2,802.94415
2,799.52826
2,795.93445
2,793.78428
2,795.03879
2,801.00814
2,810.64548
2,822.37063
2,834.7072
2,847.14383
2,859.6933
2,872.37082
2,884.86466
2,896.23498
2,905.47073
2,911.59833
2,914.16128
2,913.07956
2,908.28166
2,899.96658
2,889.454
2,878.35383
2,868.22082
2,859.31776
2,850.60228
2,840.97613
2,830.68103
2,823.63989
2,824.40221
2,836.43405
2,855.78898
2,875.41738
2,888.3016
2,891.26767
2,887.99603
2,882.87565
2,879.73373
2,877.57095
2,872.92944
2,862.37366
2,846.01761
2,830.17239
2,821.7727
2,825.41069
2,836.36315
2,847.59163
2,852.48306
2,850.79928
2,847.21456
2,846.51518
2,850.8941
2,856.99336
2,860.73905
2,858.73794
2,853.1149
2,848.67259
2,850.15846
2,859.05963
2,872.36254
2,886.72462
2,898.96331
2,907.00487
2,909.24484
