Interval_ID,MEAN_RR,MEDIAN_RR,SDRR,RMSSD,SDSD,SDRR_RMSSD,HR,pNN50,pNN25,SD1,SD2
1,0.7514033544491525,0.7284456450000001,0.0872031286919938,0.012238827530568057,0.008057586441093506,7.12512113388253,79.85058842861501,0.0,0.059322033898305086,0.008689529187079352,0.123216688496123
2,0.8525157078333333,0.8558797,0.03689503397398853,0.008488552117561061,0.005367698959205152,4.346446067953135,70.37993487825563,0.0,0.0,0.005957427578217945,0.05183226661471907
3,0.78607472075,0.786772595,0.04877607641103768,0.010981547073135879,0.006472673391817063,4.441639787745246,76.32862171518954,0.0,0.0125,0.007777338989263458,0.06854803813050495
4,0.8252835865,0.83080461,0.04489270193678569,0.010986588738404463,0.00666380537817701,4.086136562103195,72.70228195674893,0.0,0.016666666666666666,0.007819195815896244,0.06297656125897154
5,0.837865697,0.83682774,0.055913791901837886,0.011500402804113609,0.006552603320263493,4.861898566008309,71.61052208585645,0.0,0.03333333333333333,0.008110541217378251,0.07872182188589773
6,0.7885453863333333,0.790704255,0.059311694372734064,0.009678511768518442,0.005897830473821352,6.128183319015927,76.08946934430081,0.0,0.0125,0.0068489638961024765,0.08330358526546236
7,0.8302722697083333,0.8207414,0.05905185080339257,0.009062104977167787,0.005541228872849451,6.516350334958077,72.26545097197744,0.0,0.0,0.006416391498128193,0.08336117280284805
8,0.8440863377083333,0.85110448,0.06132670419502934,0.010306701711622377,0.006634122362469137,5.950177458407876,71.08277591946107,0.0,0.020833333333333332,0.007254403348792242,0.08736497210199065
9,0.7160357596250001,0.71767925,0.06458433129456256,0.00956086592027251,0.005728435473244751,6.755071332777538,83.79469767183555,0.0,0.0125,0.006776282579842913,0.09095725445134635
10,0.7095020971666667,0.705039585,0.04550857261819249,0.00926326310927146,0.006284284259833758,4.9128014697805185,84.56634623013046,0.0,0.020833333333333332,0.006787995687364263,0.06402260888997235
11,0.661819377375,0.66526101,0.042607721561969104,0.009661327569369845,0.006498604937704945,4.410131139435961,90.65917688596599,0.0,0.016666666666666666,0.006610653143990293,0.05968908693501267
12,0.7385863927083334,0.7302005549999999,0.0702895352826047,0.008637163531360206,0.004959699960943349,8.13803455583471,81.23626510364632,0.0,0.004166666666666667,0.006122314213437741,0.09896798271223173
13,0.7088883799166666,0.70830387,0.04194910606079459,0.008917810192908509,0.005755267911760343,4.703969377387371,84.63955920261142,0.0,0.016666666666666666,0.00632137725396571,0.059301145311317326
14,0.7454784222083333,0.742808835,0.047860186502741896,0.008827262134527235,0.005250077774536155,5.421860795947141,80.48522695299724,0.0,0.0,0.006265592421061936,0.06728335923351544
15,0.7297787328333333,0.732835015,0.06542939914459993,0.011765419970581498,0.007503472906632216,5.561161378701395,82.21670117331685,0.0,0.041666666666666664,0.00832356115918022,0.09218703691693009
16,0.6963095177083333,0.701549515,0.07187471421559243,0.010179940973111269,0.006888023742522663,7.060425439149236,86.16857657995206,0.0,0.020833333333333332,0.0072227293350675585,0.10133624593064489
17,0.7330652915416667,0.729410825,0.0476435592081788,0.009234027655446298,0.005731364624080815,5.159564275300635,81.84809824213272,0.0,0.0,0.006521711978469846,0.0670453673488455
18,0.7437336462083334,0.73869231,0.0561130685817013,0.009762188024833494,0.006062317667099436,5.74800121027769,80.67404279191761,0.0,0.008333333333333333,0.006920060936345848,0.07908542888830326
19,0.7617033002916667,0.7634651349999999,0.0508803934456801,0.010703783404587526,0.00636880266877127,4.7534961725657965,78.77082845384177,0.0,0.03333333333333333,0.007599544656715192,0.07163800626884756
20,0.7289478855,0.734470775,0.06603974365051764,0.009521795229551515,0.00647340897033252,6.935639977381468,82.31041092717457,0.0,0.016666666666666666,0.00675180966134757,0.09316514340437221
21,0.7304255563333334,0.73558183,0.045394924737138014,0.009371606130017172,0.005596683611826484,4.843878851431716,82.14389471966764,0.0,0.0,0.0066036720595338775,0.06390255023953285
22,0.699182613375,0.69238289,0.04711930185065502,0.009023465953329455,0.005490691253711496,5.221862873352901,85.81449088153965,0.0,0.004166666666666667,0.00639027724016335,0.06645387637600388
23,0.7568919152916667,0.7544262749999999,0.07841333796766255,0.009754315234049769,0.005930755256348301,8.038835744608914,79.27155619951249,0.0,0.008333333333333333,0.006958390576059364,0.11042633704645445
24,0.7527013637500001,0.7505236200000001,0.05151889778053372,0.008903162308370197,0.005633129603361422,5.786584136750925,79.71288865623501,0.0,0.008333333333333333,0.006254218060984507,0.07251755270223595
25,0.7163444597916667,0.72068461,0.06140707765536429,0.0094857383186493,0.00565567608663756,6.473621303113093,83.75858733862435,0.0,0.004166666666666667,0.006739739484380365,0.08657896909639648
